Linux map destination coverage, played: PASS (125 of 125 designs)
CORRECTION 2026-09-22: this headline says PASS while two of the 125 designs
produced no payoff. Reaching a design is not passing it, and "PASS (125 of
125 designs)" reads as "all 125 destinations pass" - the precise claim this
check exists to prevent, printed by the check itself. The verdict is
INCOMPLETE: payoff 123 of 125, non-floor 123, access 122. The check now
computes that itself and carries every column in the headline.
source: 6cf227b
renderer: Intel Mesa Intel(R) Iris(R) Xe Graphics (RPL-U) on display :0

designs in the catalogue: 125
designs reached in this run: 125 (from 1 to 125)

  geometry: a building or an area          125 of 125
  payoff inserted, exactly one token       123 of 125
  container identified and NOT a floor     123 of 125
  target resolves AND a standable square   122 of 125

design	buildings	areas	source	verdict	state	items	container	sprite	nonFloor	resolves	square	standable
BBurgStashMap1	1	0	source stash anchor	ok	placed	1	counter	fixtures_counters_01_49	true	true	true	true
BBurgStashMap2	1	0	source stash anchor	ok	placed	1	medicine	fixtures_bathroom_01_28	true	true	true	true
BBurgStashMap3	1	0	source stash anchor	ok	placed	1	dresser	furniture_storage_01_13	true	true	true	true
BBurgStashMap4	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_46	true	true	true	true
BBurgStashMap5	1	0	source stash anchor	ok	placed	1	shelves	location_restaurant_bar_01_37	true	true	true	true
BBurgStashMap6	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_19	true	true	true	true
BBurgStashMap7	1	0	source stash anchor	ok	placed	1	fridge	appliances_refrigeration_01_14	true	true	true	true
BBurgStashMap8	1	0	source stash anchor	ok	placed	1	dresser	furniture_storage_01_47	true	true	true	true
EkronStashMap1	1	0	source stash anchor	ok	placed	1	clothingdryer	appliances_laundry_01_12	true	true	true	true
EkronStashMap2	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_45	true	true	true	true
EkronStashMap3	1	0	source stash anchor	ok	placed	1	desk	carpentry_02_0	true	true	true	true
EkronStashMap4	1	0	source stash anchor	ok	placed	1	fridge	appliances_refrigeration_01_14	true	true	true	true
EkronStashMap5	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_23	true	true	true	true
EkronStashMap6	1	0	8B Hutchins Drive, Circuital Healing flyer; not a vanilla map mark	ok	placed	1	metal_shelves	furniture_shelving_01_28	true	true	true	true
EkronStashMap7	1	0	explicit map symbol; source candidate	ok	placed	1	wardrobe	furniture_storage_01_1	true	true	true	true
EkronStashMap8	1	0	explicit map symbol; source candidate	ok	placed	1	medicine	fixtures_bathroom_01_29	true	true	true	true
IrvingtonStashMap1	18	1	IrvingtonSpeedway print footprint; IrvingtonStashMap1 lap-time arrow at 929,13035	ok	placed	1	counter	fixtures_counters_01_39	true	true	true	true
IrvingtonStashMap2	1	0	source stash anchor	ok	placed	1	metal_shelves	furniture_shelving_01_31	true	true	true	true
IrvingtonStashMap3	2	0	source stash anchor	ok	placed	1	dresser	furniture_storage_01_12	true	true	true	true
IrvingtonStashMap4	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_32	true	true	true	false
IrvingtonStashMap5	2	0	source stash anchor	ok	placed	1	filingcabinet	location_business_office_generic_01_17	true	true	true	true
IrvingtonStashMap6	2	0	source stash anchor	ok	placed	1	sidetable	furniture_tables_low_01_13	true	true	true	true
IrvingtonStashMap7	1	0	source stash anchor	ok	placed	1	stove	appliances_cooking_01_6	true	true	true	true
IrvingtonStashMap8	1	0	source stash anchor	ok	placed	1	counter	location_hospitality_sunstarmotel_02_12	true	true	true	true
IrvingtonStashMap9	1	1	ArrowSouth 4012,13637 and five Heart marks 3976..4037,13676..13678; sixteen-tile margin	ok	placed	1	stove	appliances_cooking_01_5	true	true	true	true
IrvingtonStashMap10	1	0	explicit map symbol; source candidate	ok	placed	1	clothingwasher	appliances_laundry_01_6	true	true	true	true
LouisvilleStashMap1	1	0	source stash anchor	ok	placed	1	stove	appliances_cooking_01_11	true	true	true	true
LouisvilleStashMap2	1	0	source stash anchor	ok	placed	1	SurvivorCrate	carpentry_01_16	true	true	true	true
LouisvilleStashMap3	1	0	source stash anchor	ok	placed	1	metal_shelves	furniture_shelving_01_24	true	true	true	true
LouisvilleStashMap4	1	0	source stash anchor	ok	placed	1	cashregister	location_shop_accessories_01_2	true	true	true	true
LouisvilleStashMap5	1	0	source stash anchor	ok	placed	1	stove	appliances_cooking_01_1	true	true	true	true
LouisvilleStashMap6	1	0	source stash anchor	ok	placed	1	metal_shelves	furniture_shelving_01_25	true	true	true	true
LouisvilleStashMap7	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_41	true	true	true	true
LouisvilleStashMap8	1	0	source stash anchor	ok	placed	1	counter	location_hospitality_sunstarmotel_02_14	true	true	true	true
LouisvilleStashMap9	1	0	source stash anchor	ok	placed	1	desk	location_business_office_generic_01_42	true	true	true	true
LouisvilleStashMap10	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_47	true	true	true	true
LouisvilleStashMap11	1	0	source stash anchor	ok	placed	1	locker	furniture_storage_02_28	true	true	true	true
LouisvilleStashMap12	1	0	source stash anchor	ok	placed	1	stove	appliances_cooking_01_20	true	true	true	true
LouisvilleStashMap13	1	0	source stash anchor	ok	placed	1	dresser	furniture_storage_01_42	true	true	true	true
LouisvilleStashMap14	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_42	true	true	true	true
LouisvilleStashMap15	1	0	reviewed gallery map mark; native validation pending	ok	placed	1	displaycase	location_shop_generic_01_100	true	true	true	true
LouisvilleStashMap16	1	0	source stash anchor	ok	placed	1	stove	appliances_cooking_01_14	true	true	true	true
MarchRidgeStashMap1	1	0	source stash anchor	ok	placed	1	dresser	furniture_storage_01_40	true	true	true	true
MarchRidgeStashMap2	1	0	source stash anchor	ok	placed	1	clothingwasher	appliances_laundry_01_3	true	true	true	true
MarchRidgeStashMap3	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_23	true	true	true	true
MarchRidgeStashMap4	1	0	source stash anchor	ok	placed	1	metal_shelves	furniture_shelving_01_30	true	true	true	true
MarchRidgeStashMap5	1	0	source stash anchor	ok	placed	1	fridge	appliances_refrigeration_01_30	true	true	true	true
MarchRidgeStashMap6	1	0	source stash anchor	ok	placed	1	wardrobe	furniture_storage_01_59	true	true	true	true
MarchRidgeStashMap7	1	0	source stash anchor	ok	placed	1	metal_shelves	furniture_shelving_01_28	true	true	true	true
MarchRidgeStashMap8	1	0	source stash anchor	ok	placed	1	metal_shelves	furniture_shelving_01_29	true	true	true	true
MarchRidgeStashMap9	1	0	source stash anchor	ok	placed	1	vendingpop	location_shop_accessories_01_19	true	true	true	true
MarchRidgeStashMap10	1	0	source stash anchor	ok	placed	1	fridge	appliances_refrigeration_01_30	true	true	true	true
MulStashMap1	1	0	source stash anchor	ok	placed	1	cardboardbox	furniture_storage_02_18	true	true	true	true
MulStashMap2	1	0	source stash anchor	ok	placed	1	bin	trashcontainers_01_18	true	true	true	true
MulStashMap11	1	0	MulStashMap11 native restaurant anchor and named Spiffo's annotation	ok	placed	1	bin	trashcontainers_01_17	true	true	true	true
MulStashMap3	1	0	source stash anchor	ok	placed	1	fridge	appliances_refrigeration_01_5	true	true	true	true
MulStashMap4	1	0	source stash anchor	ok	placed	1	bin	trashcontainers_01_16	true	true	true	true
MulStashMap12	1	0	source stash anchor	ok	placed	1	filingcabinet	location_business_office_generic_01_33	true	true	true	true
MulStashMap5	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_40	true	true	true	true
MulStashMap13	1	0	source stash anchor	ok	placed	1	vendingsnack	location_shop_accessories_01_16	true	true	true	true
MulStashMap6	1	0	source stash anchor	ok	placed	1	microwave	appliances_cooking_01_26	true	true	true	true
MulStashMap7	1	0	source stash anchor	ok	placed	1	overhead	location_hospitality_sunstarmotel_02_45	true	true	true	true
MulStashMap8	1	0	source stash anchor	ok	placed	1	microwave	appliances_cooking_01_25	true	true	true	true
MulStashMap9	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_41	true	true	true	true
MulStashMap10	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_43	true	true	true	true
MulStashMap14	1	0	source stash anchor	ok	placed	1	microwave	appliances_cooking_01_24	true	true	true	true
MulStashMap15	1	0	source stash anchor	ok	placed	1	clothingdryer	appliances_laundry_01_13	true	true	true	true
MulStashMap16	1	0	MulStashMap16 KnifeFork at 10611,9644; same restaurant named by MulStashMap11 at 10612,9649. The bank stash is not moved	ok	placed	1	bin	trashcontainers_01_17	true	true	true	true
MulStashMap17	1	0	source stash anchor	ok	placed	1	cardboardbox	furniture_storage_02_16	true	true	true	true
MulStashMap18	1	0	source stash anchor	ok	placed	1	sidetable	furniture_storage_01_54	true	true	true	true
MulStashMap19	1	0	explicit map symbol; source candidate	ok	placed	1	fridge	appliances_refrigeration_01_29	true	true	true	true
RiversideStashMap1	1	0	source stash anchor	ok	placed	1	dishescabinet	furniture_storage_02_38	true	true	true	true
RiversideStashMap2	1	0	source stash anchor	ok	placed	1	vendingsnack	location_shop_accessories_01_16	true	true	true	true
RiversideStashMap3	1	0	source stash anchor	ok	placed	1	cashregister	location_shop_accessories_01_22	true	true	true	true
RiversideStashMap4	1	0	source stash anchor	ok	placed	1	bin	trashcontainers_01_17	true	true	true	true
RiversideStashMap5	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_44	true	true	true	true
